,metric_type,pearson_r,pearson_p,spearman_r,spearman_p,mse,r2
Group 0 mean,mean,0.020497628211133063,0.5676213159179833,0.010851485148514849,0.5658173740897864,0.04024351015686989,-0.0005234686748215811
Group 0 std,std,0.15854418938815018,0.44793098439911316,0.1324047118158267,0.41833185397122125,7.271506092365598e-06,0.0001807329253985374
Group 1 mean,mean,-0.012106558652582044,0.26420000127711263,-0.013827782778277828,0.3359967239015314,0.037593137472867966,-0.0006117359686074409
Group 1 std,std,0.18743090625770872,0.26868195325130184,0.1734755081913609,0.3083697924120085,8.490583240927663e-06,0.00022601122221452383
Group 2 mean,mean,0.08123449104295866,0.45406540905487863,0.0647992799279928,0.5530814782840995,0.03859809413552284,-3.0265303196941318e-06
Group 2 std,std,0.04295470321497952,0.2362625598229796,0.045240228009806635,0.27985196202280627,1.2040815988711984e-07,3.084112252677368e-06
Group 3 mean,mean,0.0391247641124896,0.608295559853883,0.023467146714671466,0.6152399731271257,0.03941125422716141,-1.7830083752068405e-05
Group 3 std,std,0.07832471807505235,0.317237550310138,0.08617653494989945,0.3296277585141888,4.3928108084401174e-07,1.1164313100095426e-05
Group 4 mean,mean,0.13177734399382168,0.39520677027853673,0.11937113711371135,0.3807605191125755,0.03933512419462204,-0.00024538635862132453
Group 4 std,std,0.137583863260452,0.41681167869218966,0.14594891662304937,0.42755978944107803,2.1882156033825595e-06,5.5665887630755217e-05
Overall mean,mean,0.052105533741564194,0.4578778112764788,0.040932253225322526,0.4901792137030237,0.03903622180223465,-0.0002802895232244218
Overall std,std,0.13088439556151657,0.3411199262481274,0.12386986873359707,0.3454950097531862,0.0009085340425372124,0.0002834142461013666
