,metric_type,pearson_r,pearson_p,spearman_r,spearman_p,mse,r2
Group 0 mean,mean,0.4315100062682397,1.949821187973434e-130,0.5803613510449199,1.1196708851466002e-279,0.040673308074474335,-0.011208952245963766
Group 0 std,std,0.04049425040821055,4.3599327202779946e-130,0.027656390829746785,0.0,0.004927551373839378,0.12250747818015782
Group 1 mean,mean,0.43895927186823336,8.368608508746895e-156,0.5972338880394441,0.0,0.037170328199863434,0.010642148870074397
Group 1 std,std,0.021739329827585942,1.871277750264111e-155,0.009193125356202928,0.0,0.0025976556353271008,0.06914149690278923
Group 2 mean,mean,0.3972509990958941,2.8749824550496695e-127,0.5614137860042892,1.770461527085241e-293,0.040521446615457535,-0.04983346687927093
Group 2 std,std,0.029396143980639035,6.428653702447326e-127,0.020166277363575482,0.0,0.0041154297068715096,0.10662293705167247
Group 3 mean,mean,0.43491091415371186,1.5727644856687124e-137,0.5926027581251556,9.9304391750782e-310,0.03978344798088074,-0.009461872544786188
Group 3 std,std,0.03504079066524476,3.516808302552735e-137,0.023647770627399332,0.0,0.004016244783997536,0.1019078997997749
Group 4 mean,mean,0.4460813835089327,4.948160332022985e-156,0.5649263559337603,2.54450326716095e-295,0.04075530916452408,-0.03635906391198105
Group 4 std,std,0.03064612336517507,1.1064384516288094e-155,0.01619576090598124,0.0,0.002900375984609127,0.0737530836208648
Overall mean,mean,0.42974251497900234,5.753864552789838e-128,0.5793076278295137,2.2393417702932367e-280,0.039780765771865845,-0.019244241342385508
Overall std,std,0.03401068633898523,2.8749009403969017e-127,0.023665650942198357,0.0,0.003739306004717946,0.09113580561951652
