,metric_type,pearson_r,pearson_p,spearman_r,spearman_p,mse,r2
Group 0 mean,mean,0.004430397280715778,0.7843710960513187,-0.010195322,0.5288733851154575,0.054763395339250565,-0.361513005
Group 0 std,std,0.0004211881287962853,0.01998475516849022,0.00037437601708536323,0.015156322583538313,0.002034995937719941,0.050593519290371904
Group 1 mean,mean,-0.006677704,0.6800465529745876,-0.016780994,0.3003967554257996,0.05379825085401535,-0.431941131
Group 1 std,std,0.0004710482061175398,0.0213524957259595,0.0008651295865328296,0.024977446063232402,0.0017925376305356622,0.04771171113133282
Group 2 mean,mean,0.007987553986545822,0.6223652685349934,0.005296730932956238,0.7438240150102199,0.05454127863049507,-0.41306052
Group 2 std,std,0.0011409980833314523,0.05019779822407782,0.0009233717440522681,0.04304987154085797,0.0009610857232473791,0.024899905172346408
Group 3 mean,mean,0.012852348733275462,0.4314560223260536,-0.017224883,0.2885743895829413,0.05495252460241318,-0.394360924
Group 3 std,std,0.002502032982731291,0.09487639106575743,0.001348438874656586,0.0372971113475197,0.002000951673835516,0.05077201381374312
Group 4 mean,mean,-0.035276641,0.029600380475015602,-0.02742631,0.09120905931670482,0.0569082610309124,-0.447109405
Group 4 std,std,0.0011786789780861035,0.005411166075467062,0.0014594577241053468,0.01806793054773345,0.0020462998654693365,0.052034976324700444
Overall mean,mean,-0.003336809,0.5095678640723937,-0.013266156,0.3905755208902246,0.05499274283647537,-0.409596997
Overall std,std,0.017615419697534447,0.2752642890132585,0.01105947901766425,0.23076279266044666,0.001964765600860119,0.05215339489089198
,,,,,,,
,,,,,,,
,,-0.003337 ± 0.017615,,,,,
