,metric_type,pearson_r,pearson_p,spearman_r,spearman_p,mse,r2
Group 0 mean,mean,-0.05207613214332576,0.6479071507559419,-0.025773777377737773,0.779919631460188,0.0402434840798378,-0.0005228138535512183
Group 0 std,std,0.061822090212233276,0.3751478279707111,0.03958903118042985,0.2549387488502411,7.2822313086362556e-06,0.00018104322186983905
Group 1 mean,mean,-0.020714667728077524,0.48932701283946994,-0.0372109210921092,0.40384914266840505,0.037593163549900055,-0.000612459144012556
Group 1 std,std,0.11105941615803044,0.3354375647709084,0.12610625913843806,0.32655471482965553,8.506694030074868e-06,0.00022640093580483488
Group 2 mean,mean,0.03334910373329965,0.6905950246303483,0.04012481248124812,0.6648987861849072,0.038598090410232544,-3.029354903105741e-06
Group 2 std,std,0.0646796276158527,0.3165150846712883,0.07296089051180735,0.3674449102839372,1.2149816086548526e-07,3.1296544267238374e-06
Group 3 mean,mean,-0.010428789838801977,0.3125368333205404,-0.021062106210621056,0.2967390384822058,0.0394112691283226,-1.8153084435557078e-05
Group 3 std,std,0.12819578414652255,0.23211163832714968,0.13500183861351978,0.2382855007212873,4.408373968090018e-07,1.1208756030262373e-05
Group 4 mean,mean,0.0373165946507075,0.6601092489520967,0.037734173417341726,0.547393847497331,0.03933512046933174,-0.00024528928788578595
Group 4 std,std,0.12162110109096257,0.39507832990130937,0.12964546058312457,0.30579042709904164,2.190246277677943e-06,5.5684926281751406e-05
Overall mean,mean,-0.0025107782652396206,0.5600950540996795,-0.001237563756375639,0.5385600892586074,0.03903622552752495,-0.0002803489449576446
Overall std,std,0.09892687514474939,0.3390416133734085,0.10386310490677972,0.32802013712444494,0.0009085189085453749,0.0002834992060460784
